id,artist_id
7D0RhFcb3CrfPuTJ0obrod,4gzpq5DPGxSnKTe4SA8HAU
3yfqSUWxFvZELEM4PmlwIR,7dGJo4pcD2V6oG8kP0tJRR
3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU
0I3q5fE6wg7LIfHGngUTnV,1G9G7WwrXka3Z1r7aIDjI7
3UmaczJpikHgJFyBTAJVoz,7dGJo4pcD2V6oG8kP0tJRR
6ZOBP3NvffbU4SZcrnt1k6,2RTUTCvo6onsAnheUk3aL9
60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz
51c94ac31swyDQj9B3Lzs3,6Ghvu1VvMGScGpOUJBAHNH
3K4HG9evC7dg3N0R9cYqk4,6XyY86QOPPrYVGvF9ch6wz
3Gf5nttwcX9aaSQXRWidEZ,2gBjLmx6zQnFGQJCAQpRgw
3WkibOpDF7cQ5xntM1epyf,5EvFsr3kj42KNv97ZEnqij
0YWUHZPJVg4iujddsJDwhM,26dSoYclwsYLMAKD3tpOr4
3oW6SWwGqiZSPTiAp7ZQoH,2M4Yt7oKGoYd0wqU44k4i2
40rvBMQizxkIqnjPdEWY1v,3TOqt5oJwL9BE2NG9MEwDa
4wEuNvb7oG8oZYrZPZ9rPr,5AyEXCtu3xnnsTGCo4RVZh
6glsMWIMIxQ4BedzLqGVi4,1G9G7WwrXka3Z1r7aIDjI7
6naxalmIoLFWR0siv8dnQQ,26dSoYclwsYLMAKD3tpOr4
62bOmKYxYg7dhrC6gH9vFn,6Ff53KvcvAj5U7Z1vojB5o
23wfXwnsPZYe5A1xXRHb3J,7dGJo4pcD2V6oG8kP0tJRR
1msuiw6pnXYfxZ7Edyit9U,25NQNriVT2YbSW80ILRWJa
3wMUvT6eIw2L5cZFG1yH9j,2gBjLmx6zQnFGQJCAQpRgw
57BrRMwf9LrcmuOsyGilwr,6XyY86QOPPrYVGvF9ch6wz
1Vej0qeQ3ioKwpI6FUbRv1,6XyY86QOPPrYVGvF9ch6wz
587p8shYuTXUhThG3t9x60,014WIDx7H4BRCHB1faiisK
3IV4swNduIRunHREK80owz,165ZgPlLkK7bf5bDoFc6Sb
7FDV5ELOJHCGLe52AnttEd,5EvFsr3kj42KNv97ZEnqij
0wqOReZDnrefefEsrIGeR4,5PokPZn11xzZXyXSfnvIM3
3Fzlg5r1IjhLk2qRw667od,6xeFne1rkxMhKSW3ipvkdV
4uOKFydzAejjSFqYbv1XPt,69MEO1AADKg1IZrq2XLzo5
3LI4MmibTkXH5cGpCGZgyw,4mYFgEjpQT4IKOrjOUKyXu
0v1XpBHnsbkCn7iJ9Ucr1l,58lV9VcRSjABbAbfWS6skp
4KoecuyOpZaNFZ0UqVsllc,2DnqqkzzDKm3vAoyHtn8So
2AW37v0bDyuOzGP3XnmFuA,6Ff53KvcvAj5U7Z1vojB5o
3mNecsYFb6LQg7822DPXCP,306JHpIRGVaQd6OltnOzUO
5XVjNRubJUW0iPhhSWpLCj,2tbvDi9eXf9XXp06LupkED
0aym2LBJBk9DAYuHHutrIl,3WrFJ7ztbogyGnTHbHJFl2
2gSVKxPDww9Eep5rdvtdem,165ZgPlLkK7bf5bDoFc6Sb
65B1tEOv5W294uCKbmEcFV,738OS3zrCO782uDiUN9pet
4pbG9SUmWIvsROVLF0zF9s,3WrFJ7ztbogyGnTHbHJFl2
7pv80uUHfocFqfTytu1MVi,7IfculRW2WXyzNQ8djX8WX
5eGEc27nnhtmcOh6RC890a,7dGJo4pcD2V6oG8kP0tJRR
1VuBmEauSZywQVtqbxNqka,51Blml2LZPmy7TTiAg47vQ
5gUoppDphfYsIiguGr5drh,1zVxAFV8uL5V816dzdHvYQ
7lgvU7WnwcNZ8dbGUz8yhP,7dGJo4pcD2V6oG8kP0tJRR
2jSJm3Gv6GLxduWLenmjKS,6Ghvu1VvMGScGpOUJBAHNH
1m2xMsxbtxv21Brome189p,3zTOe1BtyTkwNvYZOxXktX
5KDNFlHAdDJ84fhK27c35X,4DFhHyjvGYa9wxdHUjtDkc
4LwOrnuxJwR7C5Sw4liY4Z,3ipn9JLAPI5GUEo4y4jcoi
1yxJIFPhP2EqnQ6oWJKbmP,014WIDx7H4BRCHB1faiisK
5rAxhWcgFng3s570sGO2F8,6XyY86QOPPrYVGvF9ch6wz
2DpJ9T2RVRanZcYFHKOAfA,7ceUfdWq2t5nbatS6ollHh
6xXlurslWqFuyqTCBlErzX,6gZq1Q6bdOxsUPUG1TaFbF
2avKuMN2QXkaG9vvHa2JLt,165ZgPlLkK7bf5bDoFc6Sb
7cv28LXcjAC3GsXbUvXKbX,6V6WCgi7waF55bJmylC4H5
3TwtrR1yNLY1PMPsrGQpOp,7FgMLbnZVrEnir95O0YujA
1sjrDQXqAa9V07FjKIlAQ4,0EyuKHE1AeE9lWUF8mzKVp
5jgEJXjECdlhzNgfITSTVm,3UVRliakQfa1pMWIsNuiZ8
6hwQ69v7VbPhTTR2fOtYX7,5LfGQac0EIXyAN8aUwmNAQ
4y8G3pyyBvBKd47iyvHBNj,4xtWjIlVuZwTCeqVAsgEXy
0OvwzS8FX73Bw7ykMRmffU,1J2VVASYAamtQ3Bt8wGgA6
7IoK6jZBxY7NMoQPoPXZCF,6Ghvu1VvMGScGpOUJBAHNH
7H3ojI1BsVy0dEJENqMt1k,47zz7sob9NUcODy0BTDvKx
7jtbRKtXtGtsJOBMaBo72W,7FsRH5bw8iWpSbMX1G7xf1
5YBVDvTSSSiqv7KZDeUlXA,2d0hyoQ5ynDBnkvAbJKORj
7vrLphPq4yjaX7jiDdd2Nc,2Pfv2w8a20xzC7Dr7QXRqM
6xxXrNJnnsQNLdgNk8S4y8,4DToQR3aKrHQSSRzSz8Nzt
